scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
baseline,scene_0000,32,196,0.16326530612244897,0.35298866033554077,0.3363240957260132,0.07691577821969986,0.1796172559261322,0.4991486966609955,0.27748164534568787,0.4525895416736603
baseline,scene_0001,68,196,0.3469387755102041,0.35514041781425476,0.3543124794960022,0.09380485862493515,0.1771610677242279,0.6208246946334839,0.2435402125120163,0.4704775810241699
baseline,scene_0002,69,196,0.3520408163265306,0.3437954783439636,0.341230571269989,0.09176710247993469,0.11562622338533401,0.5767350196838379,0.22891166806221008,0.4873320162296295
baseline,scene_0003,92,196,0.46938775510204084,0.3746626675128937,0.36330538988113403,0.09719473868608475,0.17139436304569244,0.5606516599655151,0.2479763627052307,0.4959520399570465
baseline,scene_0004,70,196,0.35714285714285715,0.3520854711532593,0.36340633034706116,0.09466114640235901,0.14185816049575806,0.5873986482620239,0.24117876589298248,0.4696336090564728
baseline,scene_0005,80,196,0.40816326530612246,0.2571069598197937,0.2849085330963135,0.16837233304977417,-0.06526155024766922,0.5677216053009033,0.01816110499203205,0.4550948441028595
baseline,scene_0006,21,196,0.10714285714285714,0.3941369950771332,0.4046986401081085,0.09189905971288681,0.26815640926361084,0.6337289810180664,0.27071523666381836,0.4895544946193695
baseline,scene_0007,69,196,0.3520408163265306,0.33996525406837463,0.33274686336517334,0.09100339561700821,0.08566177636384964,0.5321376323699951,0.2495720386505127,0.47842490673065186
baseline,scene_0008,82,196,0.41836734693877553,0.3699198365211487,0.3744460940361023,0.0996394082903862,0.16890132427215576,0.6310721635818481,0.24807524681091309,0.5116119980812073
baseline,scene_0009,50,196,0.25510204081632654,0.3527252972126007,0.3469814360141754,0.10713336616754532,0.12355713546276093,0.5625753402709961,0.21190546452999115,0.49643674492836
baseline,scene_0010,23,196,0.11734693877551021,0.37943539023399353,0.3750649094581604,0.14817051589488983,0.10544423758983612,0.5679914951324463,0.15698115527629852,0.5631772875785828
baseline,scene_0011,36,196,0.1836734693877551,0.46701812744140625,0.4621008634567261,0.0996018499135971,0.28650420904159546,0.6554299592971802,0.32260948419570923,0.5878207087516785
baseline,scene_0012,19,196,0.09693877551020408,0.31793126463890076,0.340914249420166,0.11655019968748093,0.08006813377141953,0.5515592098236084,0.15856318175792694,0.4512019157409668
baseline,scene_0013,21,196,0.10714285714285714,0.2632160782814026,0.25866058468818665,0.06340872496366501,0.11540360003709793,0.35854214429855347,0.17827337980270386,0.3364652991294861
baseline,scene_0014,24,196,0.12244897959183673,0.4640898108482361,0.4713897407054901,0.1201343685388565,0.22135165333747864,0.6462665796279907,0.2710690200328827,0.5989612936973572
baseline,scene_0015,27,196,0.1377551020408163,0.3552726209163666,0.342318594455719,0.09906692802906036,0.18864962458610535,0.5434302687644958,0.2360408455133438,0.4796949625015259
baseline,scene_0016,15,196,0.07653061224489796,0.17549142241477966,0.24088817834854126,0.14757879078388214,-0.08843140304088593,0.3516908884048462,-0.0032933291513472795,0.3344939351081848
baseline,scene_0017,75,196,0.3826530612244898,0.3658221960067749,0.3570689558982849,0.0841255709528923,0.16063964366912842,0.5471433401107788,0.27326300740242004,0.4822770953178406
baseline,scene_0018,40,196,0.20408163265306123,0.3481252193450928,0.36997416615486145,0.1367991417646408,0.12157773226499557,0.5534133911132812,0.1627475768327713,0.5214492082595825
baseline,scene_0019,102,196,0.5204081632653061,0.37840792536735535,0.3896600902080536,0.09470813721418381,0.1994365006685257,0.643593430519104,0.2576543986797333,0.4992202818393707
baseline,scene_0020,36,196,0.1836734693877551,0.47409120202064514,0.4801090657711029,0.09155141562223434,0.3056168556213379,0.6565979719161987,0.3379349112510681,0.5679660439491272
baseline,scene_0021,21,196,0.10714285714285714,0.2281988561153412,0.18778419494628906,0.11071380972862244,0.01606769859790802,0.4573580026626587,0.13915127515792847,0.42373979091644287
baseline,scene_0022,24,196,0.12244897959183673,0.28780922293663025,0.2913232147693634,0.09217023849487305,0.13377535343170166,0.4733676314353943,0.1762598752975464,0.4189682602882385
baseline,scene_0023,82,196,0.41836734693877553,0.3687461018562317,0.36405450105667114,0.09376180917024612,0.15154513716697693,0.5780181884765625,0.23890116810798645,0.5022145509719849
baseline,scene_0024,27,196,0.1377551020408163,0.270572304725647,0.27261263132095337,0.08073156327009201,0.107402004301548,0.4201536178588867,0.14118348062038422,0.37427186965942383
